Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
109,140,146,United Kingdom,176,University of Nottingham,10,138,116,131,84,49.02,140,53.72321,-1.35406
92,53,29,United Kingdom,70,University of Manchester,6,142,43,99,72,53.38,67,52.93305,-1.2038
179,174,128,United Kingdom,172,University of Liverpool,15,377,154,176,207,47.49,199,53.48976,-2.27254
567,170,197,United Kingdom,139,University of Leicester,19,385,258,367,218,46.72,240,53.44737,-2.98693
157,150,136,United Kingdom,141,University of Leeds,13,265,133,62,218,48.41,161,52.62322,-1.12489
433,637,511,United Kingdom,458,University of Kent,51,861,625,367,218,44.37,692,53.80768,-1.55749
253,511,511,United Kingdom,557,University of Hull,38,524,602,305,162,44.75,506,51.47246,0.15835
567,511,511,United Kingdom,396,University of Hertfordshire,46,839,792,367,218,44.51,604,50.86352,-0.07877
89,87,82,United Kingdom,144,University of Glasgow,9,402,123,234,218,49.45,128,51.65149,-0.36638
481,295,428,United Kingdom,174,University of Exeter,30,353,293,264,218,45.59,333,55.87259,-4.28994
358,671,511,United Kingdom,695,University of Essex,48,871,694,119,218,44.45,632,52.57511,1.71697
127,43,65,United Kingdom,37,University of Edinburgh,5,228,54,44,33,54.39,55,32.808,-97.35214
567,313,146,United Kingdom,211,University of East Anglia,31,500,349,206,179,45.58,336,55.91046,-3.28133
567,176,161,United Kingdom,200,University of Dundee,20,216,354,178,218,46.68,242,50.8625,-0.07687
494,906,511,United Kingdom,603,University of Central Lancashire,65,749,946,367,218,44.09,938,56.48351,-3.08369
10,13,12,United Kingdom,6,University of Cambridge,1,48,11,2,5,96.81,4,32.808,-97.35214
196,106,82,United Kingdom,69,University of Bristol,8,335,92,194,74,49.59,123,53.72377,-1.35426
567,754,812,United Kingdom,829,University of Brighton,61,766,854,367,218,44.21,824,51.45746,-2.60488
287,886,812,United Kingdom,772,University of Bradford,60,567,859,367,218,44.21,821,50.8636,-0.09014
158,138,146,United Kingdom,165,University of Birmingham,12,170,117,65,205,48.7,152,53.81609,-1.82609
368,353,287,United Kingdom,378,University of Bath,34,478,388,367,218,45.14,405,52.45039,-1.9335
314,225,287,United Kingdom,207,University of Aberdeen,26,422,273,360,199,46.17,285,51.27889,1.05603
447,18,15,United Kingdom,22,University College London,3,67,12,21,27,62.27,27,57.17469,-2.18302
