Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
253,511,511,United Kingdom,557,University of Hull,38,524,602,305,162,44.75,506,52.289,-1.259
567,511,511,United Kingdom,396,University of Hertfordshire,46,839,792,367,218,44.51,604,52.289,-1.259
89,87,82,United Kingdom,144,University of Glasgow,9,402,123,234,218,49.45,128,52.289,-1.259
481,295,428,United Kingdom,174,University of Exeter,30,353,293,264,218,45.59,333,52.289,-1.259
358,671,511,United Kingdom,695,University of Essex,48,871,694,119,218,44.45,632,52.289,-1.259
127,43,65,United Kingdom,37,University of Edinburgh,5,228,54,44,33,54.39,55,52.289,-1.259
567,313,146,United Kingdom,211,University of East Anglia,31,500,349,206,179,45.58,336,52.289,-1.259
567,176,161,United Kingdom,200,University of Dundee,20,216,354,178,218,46.68,242,52.289,-1.259
494,906,511,United Kingdom,603,University of Central Lancashire,65,749,946,367,218,44.09,938,52.289,-1.259
10,13,12,United Kingdom,6,University of Cambridge,1,48,11,2,5,96.81,4,52.289,-1.259
196,106,82,United Kingdom,69,University of Bristol,8,335,92,194,74,49.59,123,52.289,-1.259
567,754,812,United Kingdom,829,University of Brighton,61,766,854,367,218,44.21,824,52.289,-1.259
287,886,812,United Kingdom,772,University of Bradford,60,567,859,367,218,44.21,821,52.289,-1.259
158,138,146,United Kingdom,165,University of Birmingham,12,170,117,65,205,48.7,152,52.289,-1.259
368,353,287,United Kingdom,378,University of Bath,34,478,388,367,218,45.14,405,52.289,-1.259
314,225,287,United Kingdom,207,University of Aberdeen,26,422,273,360,199,46.17,285,52.289,-1.259
447,18,15,United Kingdom,22,University College London,3,67,12,21,27,62.27,27,52.289,-1.259
428,699,645,United Kingdom,566,Swansea University,57,595,523,367,218,44.32,729,52.289,-1.259
567,262,368,United Kingdom,476,"St George's, University of London",32,648,554,367,218,45.55,340,52.289,-1.259
567,837,511,United Kingdom,550,"Royal Veterinary College, University of London",63,746,896,246,218,44.16,874,52.289,-1.259
567,447,428,United Kingdom,306,"Royal Holloway, University of London",40,556,564,367,218,44.67,540,52.289,-1.259
387,313,264,United Kingdom,276,Queen's University Belfast,33,377,306,183,218,45.53,343,52.289,-1.259
319,138,212,United Kingdom,175,Queen Mary University of London,17,255,226,147,218,47.25,209,52.289,-1.259
544,511,511,United Kingdom,429,Plymouth University,43,651,532,367,218,44.54,587,52.289,-1.259
567,549,645,United Kingdom,340,Open University (UK),47,809,616,367,218,44.46,631,52.289,-1.259
222,159,234,United Kingdom,159,Newcastle University,18,365,192,367,218,47.17,212,52.289,-1.259
458,850,812,United Kingdom,677,Manchester Metropolitan University,64,721,941,367,218,44.14,885,52.289,-1.259
567,646,511,United Kingdom,806,Loughborough University,52,480,512,367,218,44.37,694,52.289,-1.259
